PKD_Code,Industry_Name,Year,Entity_Count,Revenue,Liabilities_Long,Net_Profit,Profitable_Ent,Liabilities_Short,Bankruptcy_Count,Profitability,Bankruptcy_Rate,Total_Debt,Revenue_Prev_Year,Dynamics_YoY,Sector,Norm_Profit,Norm_Dynamics,Stability_Score,AI_Hype_Mock,Transformation_Score,Status
11.07,Produkcja napojów bezalkoholowych; produkcja wód mineralnych i pozostałych wód butelkowanych,2005,82.0,5246.68,589.71,42.37,60.0,1595.21,0.0,0.7317073170731707,0.0,2184.92,,0.0,Ogólny,0.7317073170731707,0.0,43.90243902439025,0.42754101835854963,12.826230550756486,Neutral
12.,PRODUKCJA WYROBÓW TYTONIOWYCH,2005,15.0,14335.7,14.81,179.13,9.0,3219.2,0.0,0.6,0.0,3234.0099999999998,,0.0,Ogólny,0.6,0.0,36.0,0.02541912674409519,0.7625738023228557,Neutral
12.0,Produkcja wyrobów tytoniowych,2005,15.0,14335.7,14.81,179.13,9.0,3219.2,0.0,0.6,0.0,3234.0099999999998,,0.0,Ogólny,0.6,0.0,36.0,0.10789142699330445,3.2367428097991335,Neutral
13.,PRODUKCJA WYROBÓW TEKSTYLNYCH,2005,394.0,7003.54,476.94,104.06,270.0,2163.0,0.0,0.6852791878172588,0.0,2639.94,,0.0,Ogólny,0.6852791878172588,0.0,41.116751269035525,0.03142918568673425,0.9428755706020275,Neutral
13.1,Przygotowanie i przędzenie włókien tekstylnych,2005,41.0,865.37,100.83,14.14,28.0,205.53,0.0,0.6829268292682927,0.0,306.36,,0.0,Ogólny,0.6829268292682927,0.0,40.97560975609756,0.6364104112637804,19.092312337913413,Neutral
13.2,Produkcja tkanin,2005,52.0,1346.55,56.99,-38.24,28.0,601.22,0.0,0.5384615384615384,0.0,658.21,,0.0,Ogólny,0.5384615384615384,0.0,32.30769230769231,0.3143559810763267,9.4306794322898,Neutral
13.3,Wykończanie wyrobów włókienniczych,2005,49.0,827.93,59.8,19.54,37.0,250.67,0.0,0.7551020408163265,0.0,310.46999999999997,,0.0,Ogólny,0.7551020408163265,0.0,45.306122448979586,0.5085706911647028,15.257120734941083,Neutral
13.9,Produkcja pozostałych wyrobów tekstylnych,2005,252.0,3963.7,259.32,108.63,177.0,1105.57,0.0,0.7023809523809523,0.0,1364.8899999999999,,0.0,Ogólny,0.7023809523809523,0.0,42.14285714285714,0.907566473926093,27.226994217782792,Neutral
13.91,Produkcja dzianin metrażowych,2005,42.0,719.56,36.38,7.68,35.0,145.98,0.0,0.8333333333333334,0.0,182.35999999999999,,0.0,Ogólny,0.8333333333333334,0.0,50.0,0.24929222914887494,7.478766874466249,Neutral
13.92,Produkcja gotowych wyrobów tekstylnych,2005,123.0,1529.98,113.75,13.88,80.0,537.69,0.0,0.6504065040650406,0.0,651.44,,0.0,Ogólny,0.6504065040650406,0.0,39.02439024390244,0.41038292303562973,12.31148769106889,Neutral
13.93,Produkcja dywanów i chodników,2005,10.0,194.27,22.33,5.97,9.0,88.73,0.0,0.9,0.0,111.06,,0.0,Ogólny,0.9,0.0,54.0,0.7555511385430487,22.66653415629146,Neutral
13.94,"Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych",2005,11.0,225.8,5.58,13.27,9.0,49.04,0.0,0.8181818181818182,0.0,54.62,,0.0,Ogólny,0.8181818181818182,0.0,49.09090909090909,0.22879816549162246,6.863944964748674,Neutral
13.95,"Produkcja włóknin i wyrobów wykonanych z włóknin, z wyłączeniem odzieży",2005,15.0,375.34,57.61,14.07,12.0,123.29,0.0,0.8,0.0,180.9,,0.0,Ogólny,0.8,0.0,48.0,0.07697990982879299,2.30939729486379,Neutral
13.96,Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych,2005,16.0,588.78,6.94,49.36,12.0,65.19,0.0,0.75,0.0,72.13,,0.0,Ogólny,0.75,0.0,44.99999999999999,0.289751452913768,8.69254358741304,Neutral
13.99,"Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana",2005,35.0,329.98,16.74,4.39,20.0,95.65,0.0,0.5714285714285714,0.0,112.39,,0.0,Ogólny,0.5714285714285714,0.0,34.28571428571428,0.16122128725400442,4.836638617620133,Neutral
14.,PRODUKCJA ODZIEŻY,2005,769.0,5753.54,277.44,82.9,443.0,1622.55,0.0,0.576072821846554,0.0,1899.99,,0.0,Ogólny,0.576072821846554,0.0,34.56436931079324,0.9296976523425731,27.89092957027719,Neutral
14.1,"Produkcja odzieży, z wyłączeniem wyrobów futrzarskich",2005,674.0,4900.34,216.66,74.61,379.0,1294.84,0.0,0.5623145400593472,0.0,1511.5,,0.0,Ogólny,0.5623145400593472,0.0,33.73887240356083,0.808120379564417,24.243611386932507,Neutral
14.11,Produkcja odzieży skórzanej,2005,15.0,65.82,1.94,-0.45,6.0,17.18,0.0,0.4,0.0,19.12,,0.0,Ogólny,0.4,0.0,24.0,0.6334037565104235,19.002112695312704,Neutral
14.12,Produkcja odzieży roboczej,2005,95.0,466.42,17.94,13.11,53.0,114.58,0.0,0.5578947368421052,0.0,132.52,,0.0,Ogólny,0.5578947368421052,0.0,33.47368421052631,0.8714605901877177,26.143817705631527,Neutral
14.13,Produkcja pozostałej odzieży wierzchniej,2005,441.0,3438.27,151.27,34.29,250.0,946.87,0.0,0.5668934240362812,0.0,1098.14,,0.0,Ogólny,0.5668934240362812,0.0,34.01360544217687,0.8036720768991145,24.110162306973432,Neutral
14.14,Produkcja bielizny,2005,76.0,690.62,39.59,18.82,45.0,145.33,0.0,0.5921052631578947,0.0,184.92000000000002,,0.0,Ogólny,0.5921052631578947,0.0,35.52631578947368,0.18657005888603584,5.597101766581075,Neutral
14.19,Produkcja pozostałej odzieży i dodatków do odzieży,2005,47.0,239.22,5.92,8.85,25.0,70.88,0.0,0.5319148936170213,0.0,76.8,,0.0,Ogólny,0.5319148936170213,0.0,31.914893617021274,0.8925589984899778,26.776769954699333,Neutral
14.2,Produkcja wyrobów futrzarskich,2005,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.5393422419156507,16.18026725746952,Neutral
14.3,Produkcja odzieży dzianej,2005,93.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.8074401551640625,24.223204654921876,Neutral
14.31,Produkcja wyrobów pończoszniczych,2005,49.0,587.98,54.07,18.48,38.0,229.28,0.0,0.7755102040816326,0.0,283.35,,0.0,Ogólny,0.7755102040816326,0.0,46.53061224489796,0.8960912999234932,26.8827389977048,Neutral
14.39,Produkcja pozostałej odzieży dzianej,2005,44.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.3180034749718639,9.540104249155917,Neutral
15.,PRODUKCJA SKÓR I WYROBÓW ZE SKÓR WYPRAWIONYCH,2005,195.0,2040.18,54.38,63.48,124.0,678.3,0.0,0.6358974358974359,0.0,732.68,,0.0,Ogólny,0.6358974358974359,0.0,38.153846153846146,0.11005192452767676,3.3015577358303023,Neutral
15.1,"Wyprawa skór, garbowanie; wyprawa i barwienie skór futerkowych; produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich",2005,55.0,515.71,11.73,-3.08,33.0,190.72,0.0,0.6,0.0,202.45,,0.0,Ogólny,0.6,0.0,36.0,0.22793516254194168,6.83805487625825,Neutral
15.11,"Wyprawa skór, garbowanie; wyprawa i barwienie skór futerkowych",2005,22.0,298.83,7.3,-10.06,11.0,143.14,0.0,0.5,0.0,150.44,,0.0,Ogólny,0.5,0.0,30.0,0.4271077886262563,12.81323365878769,Neutral
15.12,"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich",2005,33.0,216.88,4.43,6.99,22.0,47.58,0.0,0.6666666666666666,0.0,52.01,,0.0,Ogólny,0.6666666666666666,0.0,40.0,0.8180147659224931,24.540442977674793,Neutral
15.2,Produkcja obuwia,2005,140.0,1524.48,42.65,66.56,91.0,487.58,0.0,0.65,0.0,530.23,,0.0,Ogólny,0.65,0.0,39.0,0.8607305832563434,25.8219174976903,Neutral
16.,"PRODUKCJA WYROBÓW Z DREWNA ORAZ KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA",2005,730.0,15914.82,1589.62,757.05,535.0,3403.32,0.0,0.7328767123287672,0.0,4992.9400000000005,,0.0,Ogólny,0.7328767123287672,0.0,43.97260273972603,0.006952130531190703,0.20856391593572107,Neutral
16.1,Produkcja wyrobów tartacznych,2005,252.0,3115.53,189.06,61.83,180.0,722.36,0.0,0.7142857142857143,0.0,911.4200000000001,,0.0,Ogólny,0.7142857142857143,0.0,42.857142857142854,0.5107473025775657,15.322419077326972,Neutral
16.2,"Produkcja wyrobów z drewna, korka, słomy i materiałów używanych do wyplatania",2005,478.0,12799.29,1400.56,695.21,355.0,2680.96,0.0,0.7426778242677824,0.0,4081.52,,0.0,Ogólny,0.7426778242677824,0.0,44.56066945606694,0.417411003148779,12.522330094463369,Neutral
16.21,Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna,2005,50.0,6418.49,864.68,471.09,37.0,1056.98,0.0,0.74,0.0,1921.6599999999999,,0.0,Ogólny,0.74,0.0,44.4,0.22210781047073025,6.663234314121907,Neutral
16.22,Produkcja gotowych parkietów podłogowych,2005,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.1198653673336828,3.595961020010484,Neutral
16.23,Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa,2005,217.0,3986.35,378.12,112.7,170.0,984.23,0.0,0.783410138248848,0.0,1362.35,,0.0,Ogólny,0.783410138248848,0.0,47.004608294930875,0.33761517140362796,10.12845514210884,Neutral
16.24,Produkcja opakowań drewnianych,2005,81.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.9429097039125192,28.287291117375574,Neutral
16.29,"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania",2005,117.0,1311.59,73.64,59.76,79.0,329.79,0.0,0.6752136752136753,0.0,403.43,,0.0,Ogólny,0.6752136752136753,0.0,40.51282051282051,0.32320293202075523,9.696087960622657,Neutral
17.,PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU,2005,371.0,18105.85,1519.67,1101.85,293.0,4706.61,0.0,0.7897574123989218,0.0,6226.28,,0.0,Ogólny,0.7897574123989218,0.0,47.38544474393531,0.5187906217433661,15.563718652300981,Neutral
17.1,"Produkcja masy włóknistej, papieru i tektury",2005,35.0,5853.37,313.42,456.43,28.0,1594.18,0.0,0.8,0.0,1907.6000000000001,,0.0,Ogólny,0.8,0.0,48.0,0.7030189588951778,21.090568766855338,Neutral
17.11,Produkcja masy włóknistej,2005,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.363629602379294,10.908888071378819,Neutral
17.12,Produkcja papieru i tektury,2005,33.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.9717820827209607,29.153462481628818,Neutral
17.2,Produkcja wyrobów z papieru i tektury,2005,336.0,12252.48,1206.25,645.42,265.0,3112.44,0.0,0.7886904761904762,0.0,4318.6900000000005,,0.0,Ogólny,0.7886904761904762,0.0,47.32142857142857,0.9624472949421112,28.873418848263338,Neutral
